,UB,LB,Epsilon,MasterTime,LLTime
0,[23701.94931383],358.1875774549608,-2.4157691185405494,0.3260350227355957,0.002475738525390625
1,[1268.18242373],417.24451898655815,-0.45516035881507344,0.3722648620605469,0.0033011436462402344
2,[760.43737561],432.91070222874356,-0.2769051958629425,0.4484140872955322,0.0029599666595458984
3,[467.14762048],436.6236674143073,-0.07791745465562516,0.3960092067718506,0.002914905548095703
4,[454.11049264],438.7324937183685,-0.05244886803726434,0.42864274978637695,0.0028188228607177734
5,[442.67788392],439.32564061973665,-0.02043542333186199,0.4276161193847656,0.0033540725708007812
6,[442.37366174],440.42885793261,-0.014035631902046264,0.4201538562774658,0.0031371116638183594
7,[441.06428499],440.5940234957748,-0.004649945776783682,0.4243490695953369,0.002830028533935547
8,[440.94309222],440.72858137385873,-0.002315567497332749,0.42247915267944336,0.002792835235595703
9,[440.85546858],440.75511480325065,-0.0011458325914126544,0.3911919593811035,0.002907276153564453
10,[440.85943876],440.83055058120294,-0.0003415292342090481,0.41334986686706543,0.0027778148651123047
11,[440.84847615],440.8372603193344,-0.00013388116135470973,0.42753005027770996,0.0028100013732910156
12,[440.84740011],440.8396669925116,-9.263682030780096e-05,0.4384009838104248,0.002841949462890625
13,[440.84491319],440.8418833020793,-3.637669855760528e-05,0.4248230457305908,0.002685070037841797
14,[440.84584402],440.8441426021108,-2.043602374857123e-05,0.4344658851623535,0.003344297409057617
15,[440.84496378],440.8443711302377,-7.125847517830408e-06,0.4779360294342041,0.0026357173919677734
16,[440.84490105],440.8445329123785,-4.42537853850844e-06,0.4441962242126465,0.002988100051879883
17,[440.84473803],440.8445839729984,-1.852590333140114e-06,0.442249059677124,0.0027570724487304688
18,[440.84476736],440.84472504525047,-5.088698300514949e-07,0.45642614364624023,0.0028460025787353516
