,UB,LB,Epsilon,MasterTime,LLTime
0,inf,2.158145869454981,-0.28610806620297347,0.17105793952941895,1.6987817287445068
1,inf,2.24254040534297,-0.24147043396594647,0.06786417961120605,1.7475402355194092
2,inf,2.3140666570107555,-0.2204960679835948,0.06981515884399414,3.2506937980651855
3,inf,2.341931208088597,-0.12618387293770264,0.06588935852050781,3.5820887088775635
4,[2.4970218],2.396942491868464,-0.0041018936088845215,0.08043622970581055,4.0676093101501465
5,[2.4070218],2.3978647967315068,-5.980097989882749e-06,0.06585240364074707,3.479283094406128
6,2.3978663234522806,2.3978663234522806,2.6883503589925084e-08,0.057824134826660156,2.8656489849090576
