,UB,LB,Epsilon,MasterTime,LLTime
0,-0.24749979959914264,-0.5518216842372229,-0.30432188463808024,0.0014200210571289062,0.003997802734375
1,-0.17230350433963043,-0.49911985835704625,-0.3268163540174158,0.001085042953491211,0.0037157535552978516
2,-0.13276645001101728,-0.4966330499955234,-0.3638665999845061,0.001238107681274414,0.0037081241607666016
3,-0.08593145211879161,-0.49531458857794064,-0.40938313645914903,0.0012679100036621094,0.0036818981170654297
4,-0.1472845281846935,-0.4918801465262099,-0.3445956183415164,0.0012869834899902344,0.00401616096496582
5,-0.14207933798961137,-0.49046897002300227,-0.3483896320333909,0.0012180805206298828,0.0036089420318603516
6,-0.007852241719936148,-0.48881641000015996,-0.4809641682802238,0.0014462471008300781,0.003628969192504883
7,-0.3580617893767302,-0.48164719492000607,-0.12358540554327585,0.001291036605834961,0.0035772323608398438
8,-0.28917667783837797,-0.4812418925316706,-0.19206521469329263,0.0013849735260009766,0.0036220550537109375
9,-0.25678692515151963,-0.48091686331205885,-0.22412993816053922,0.0015261173248291016,0.003857135772705078
10,-0.3225044634048826,-0.48033195109929494,-0.15782748769441235,0.001499176025390625,0.0036077499389648438
11,-0.303023035651706,-0.47908002156268914,-0.17605698591098312,0.0016598701477050781,0.0041081905364990234
12,-0.29199024138982244,-0.47862191205887505,-0.18663167066905262,0.001543283462524414,0.0035381317138671875
13,-0.2740316552859207,-0.4779358757627108,-0.20390422047679008,0.0015537738800048828,0.0037119388580322266
14,-0.3415911343091467,-0.47760230155732764,-0.1360111672481809,0.0016200542449951172,0.003679990768432617
15,-0.2883799303427337,-0.47716240708895263,-0.18878247674621895,0.0017583370208740234,0.0037789344787597656
16,-0.2429570921575897,-0.4766301389095453,-0.2336730467519556,0.001676797866821289,0.0035393238067626953
17,-0.246653103003579,-0.4708026096128872,-0.2241495066093082,0.001748800277709961,0.003612995147705078
18,-0.3255644409116712,-0.47007297838229967,-0.14450853747062847,0.001959085464477539,0.0037848949432373047
19,-0.3280894128796803,-0.4684931214985131,-0.14040370861883278,0.0017750263214111328,0.0035839080810546875
20,-0.38280464971628964,-0.46806213476791925,-0.08525748505162961,0.0019047260284423828,0.003841876983642578
21,-0.35929342780208967,-0.46784855070553455,-0.10855512290344488,0.0018601417541503906,0.0036170482635498047
22,-0.44935009264865455,-0.46754065296387637,-0.018190560315221815,0.002052783966064453,0.004133939743041992
23,-0.4568155193646084,-0.46753093116441136,-0.010715411799802954,0.0019898414611816406,0.0036470890045166016
24,-0.42827361777941575,-0.46701144769554404,-0.038737829916128286,0.0021550655364990234,0.0036890506744384766
25,-0.4567305166546256,-0.46689609269872,-0.010165576044094404,0.0020427703857421875,0.003885984420776367
26,-0.4001122022714888,-0.46672906245796675,-0.06661686018647794,0.002232074737548828,0.0037088394165039062
27,-0.4524997426413012,-0.4666568120046293,-0.014157069363328056,0.0022063255310058594,0.003618001937866211
28,-0.45510731391583337,-0.46630858272467,-0.01120126880883665,0.002377033233642578,0.004217863082885742
29,-0.44803015910927124,-0.4659667954449578,-0.01793663633568654,0.002277851104736328,0.003632783889770508
30,-0.45252360246799317,-0.46594788386379093,-0.013424281395797766,0.0023810863494873047,0.0040929317474365234
31,-0.4556722025186768,-0.46575690048102203,-0.010084697962345235,0.002476930618286133,0.0036859512329101562
32,-0.4444916210502742,-0.4648979328200422,-0.020406311769768037,0.002621173858642578,0.004090070724487305
33,-0.45479237933095207,-0.46475994856451663,-0.009967569233564566,0.0029251575469970703,0.003668069839477539
34,-0.4534067981539518,-0.46424661975706094,-0.010839821603109145,0.002810239791870117,0.0036470890045166016
35,-0.4541233614894552,-0.46374075310193597,-0.009617391612480763,0.002810955047607422,0.003922939300537109
36,-0.45396294480481103,-0.46328944588459287,-0.009326501079781835,0.002978086471557617,0.0036830902099609375
37,-0.4527784633956048,-0.46310753620850953,-0.010329072812904738,0.0028710365295410156,0.003612041473388672
38,-0.45370853440624814,-0.46301744591236726,-0.009308911506119122,0.0032739639282226562,0.003869295120239258
39,-0.4535413537338139,-0.4629265049431339,-0.009385151209320042,0.003126859664916992,0.0037009716033935547
40,-0.4544482422211559,-0.4628914435460967,-0.008443201324940808,0.003343820571899414,0.00392603874206543
41,-0.4546662813954281,-0.46284709405934343,-0.008180812663915349,0.003247976303100586,0.0038688182830810547
42,-0.45613134888439566,-0.4628267327981348,-0.006695383913739139,0.003492116928100586,0.0036323070526123047
43,-0.4581741257665819,-0.46280514111287196,-0.004631015346290068,0.003332853317260742,0.003607034683227539
44,-0.45748265696787227,-0.46278405252437516,-0.005301395556502886,0.0033059120178222656,0.0036232471466064453
45,-0.4556062951754499,-0.46273184068765794,-0.007125545512208009,0.0036749839782714844,0.0037522315979003906
46,-0.4567367720932667,-0.4626956846521715,-0.005958912558904794,0.0035848617553710938,0.0037758350372314453
47,-0.458374110554421,-0.46268423797948977,-0.004310127425068755,0.003981828689575195,0.0038890838623046875
48,-0.45669100704745436,-0.4626625452115025,-0.005971538164048162,0.0037839412689208984,0.0037660598754882812
49,-0.457173353530397,-0.4626489315782347,-0.005475578047837715,0.004106998443603516,0.003926992416381836
50,-0.46004087072310773,-0.46262115455792063,-0.002580283834812902,0.004200935363769531,0.004336833953857422
51,-0.45906433426398574,-0.4626098545009256,-0.003545520236939881,0.004200935363769531,0.0036602020263671875
52,-0.4607365685854159,-0.4626077689730419,-0.0018712003876260042,0.004251003265380859,0.003675699234008789
53,-0.4601182245758001,-0.4625675315080926,-0.0024493069322925054,0.0042629241943359375,0.003916025161743164
54,-0.4577116614130221,-0.4625440375789953,-0.004832376165973207,0.004405021667480469,0.003674030303955078
55,-0.45826412335818445,-0.46253916162141095,-0.004275038263226505,0.0048220157623291016,0.004009246826171875
56,-0.4608731465956559,-0.46253605690966815,-0.0016629103140122226,0.0044460296630859375,0.003866910934448242
57,-0.45852212907231293,-0.4625321913893039,-0.00401006231699097,0.004535198211669922,0.004006862640380859
58,-0.4602038286384714,-0.46252965784119127,-0.0023258292027198424,0.004853963851928711,0.004399299621582031
59,-0.46075526619256213,-0.46252771795324676,-0.0017724517606846346,0.004881143569946289,0.003812074661254883
60,-0.4610036818032104,-0.46252476843161716,-0.0015210866284067759,0.0051500797271728516,0.003654956817626953
61,-0.4603875065551394,-0.46252154102616494,-0.0021340344710255588,0.0051310062408447266,0.003916025161743164
62,-0.45995327706153777,-0.462505010553917,-0.002551733492379249,0.005119800567626953,0.0038971900939941406
63,-0.46053380019631773,-0.4624719481358337,-0.0019381479395159662,0.005650043487548828,0.003690004348754883
64,-0.4597850215533389,-0.4624506853485961,-0.0026656637952572337,0.0055429935455322266,0.0038149356842041016
65,-0.46063268696524085,-0.46244332571977864,-0.0018106387545377967,0.006113767623901367,0.0042612552642822266
66,-0.461134613846536,-0.4624389510752156,-0.0013043372286796195,0.0059239864349365234,0.0037240982055664062
67,-0.4607622877556139,-0.4624364572821751,-0.0016741695265611867,0.005823850631713867,0.0037300586700439453
68,-0.46029086424179966,-0.46242649059785457,-0.0021356263560549094,0.006537199020385742,0.004027843475341797
69,-0.4611330449787463,-0.4624148447818204,-0.0012817998030740796,0.006105899810791016,0.0039520263671875
70,-0.4609038597408869,-0.4623871962623376,-0.0014833365214507177,0.006479978561401367,0.003676891326904297
71,-0.4614805094303024,-0.46237809557394094,-0.0008975861436385513,0.006443977355957031,0.003996133804321289
72,-0.46128696844657635,-0.46235313556370805,-0.0010661671171317,0.006768941879272461,0.0042760372161865234
73,-0.46104315120736317,-0.46231587913868744,-0.001272727931324269,0.00652003288269043,0.0036559104919433594
74,-0.4612173324001726,-0.4622933595989185,-0.001076027198745888,0.00684809684753418,0.0036208629608154297
75,-0.4609447461770537,-0.4622825742014989,-0.0013378280244451535,0.006864070892333984,0.003773927688598633
76,-0.4613250330691575,-0.4622761020045356,-0.0009510689353781077,0.0072329044342041016,0.0041790008544921875
77,-0.4612589042518219,-0.4622676678963824,-0.0010087636445604842,0.006955146789550781,0.0036096572875976562
78,-0.4612894485646911,-0.4622643545431444,-0.0009749059784532887,0.007188081741333008,0.004191160202026367
79,-0.4613179692235668,-0.46224803351589117,-0.0009300642923243396,0.007397890090942383,0.0036818981170654297
80,-0.46130875365169244,-0.4622384291058488,-0.0009296754541563423,0.0069959163665771484,0.003534078598022461
81,-0.46138337608682556,-0.46223000389492697,-0.0008466278081014078,0.007510185241699219,0.003881216049194336
82,-0.46126502332400254,-0.4622100833407732,-0.000945060016770638,0.007716178894042969,0.0041577816009521484
83,-0.46132729850001275,-0.46220809584142586,-0.0008807973414131087,0.007674694061279297,0.003688335418701172
84,-0.4615053458060937,-0.4622057512092521,-0.0007004054031584106,0.009525060653686523,0.0039899349212646484
85,-0.4613895287130031,-0.46220484557659525,-0.0008153168635921526,0.009174108505249023,0.0035698413848876953
86,-0.4615040570701028,-0.4621974415935899,-0.0006933845234871061,0.008277177810668945,0.003593921661376953
87,-0.4612306107405013,-0.4621878249215765,-0.0009572141810751944,0.007922172546386719,0.003773927688598633
88,-0.46159172786535196,-0.46218254538938375,-0.0005908175240317837,0.008806943893432617,0.004086017608642578
89,-0.46120684777367715,-0.4621774311179081,-0.0009705833442309464,0.008467912673950195,0.003606081008911133
90,-0.46130119070359765,-0.46215711885619193,-0.0008559281525942763,0.00867915153503418,0.003743886947631836
91,-0.4613014985230438,-0.46215482845630973,-0.0008533299332659228,0.008880138397216797,0.0038747787475585938
92,-0.46156656512092287,-0.46215183590944164,-0.0005852707885187769,0.009305238723754883,0.003587007522583008
93,-0.4613105930405268,-0.4621483444459802,-0.0008377514054533908,0.008931875228881836,0.003857851028442383
94,-0.46149600915487976,-0.4621391140613387,-0.0006431049064589134,0.009588956832885742,0.0036449432373046875
95,-0.4616659557693119,-0.462132034847194,-0.0004660790778820978,0.009654998779296875,0.003815889358520508
96,-0.46129750958102667,-0.46212129407341074,-0.000823784492384072,0.009685754776000977,0.0036220550537109375
97,-0.461482603292076,-0.4621086438483406,-0.0006260405562645843,0.0095062255859375,0.003676891326904297
98,-0.46132508894942315,-0.46210653190858153,-0.0007814429591583849,0.009434223175048828,0.0037932395935058594
99,-0.4614566910009461,-0.46210306847232197,-0.0006463774713758585,0.010668754577636719,0.003866910934448242
100,-0.4615713584592246,-0.46210039651032453,-0.0005290380510999393,0.010153055191040039,0.0034427642822265625
101,-0.46150060450563435,-0.46209099025228717,-0.0005903857466528217,0.0101470947265625,0.003676891326904297
102,-0.4614404472448159,-0.462076210374196,-0.0006357631293800736,0.010567188262939453,0.003981113433837891
103,-0.4615107158947488,-0.4620688521500238,-0.0005581362552750102,0.009844064712524414,0.0038568973541259766
104,-0.4613959891483481,-0.46206574801540334,-0.0006697588670552257,0.010746955871582031,0.0042591094970703125
105,-0.46155328120684247,-0.4620637141681243,-0.000510432961281837,0.010357141494750977,0.0034630298614501953
106,-0.4615437306622887,-0.4620614047743299,-0.0005176741120411776,0.011344194412231445,0.003717184066772461
107,-0.4615982088384808,-0.462059940249576,-0.0004617314110951787,0.00984501838684082,0.0042247772216796875
108,-0.4616160109010453,-0.46205842428403265,-0.0004424133829873389,0.009332895278930664,0.003668069839477539
109,-0.46163510005103514,-0.4620580314718534,-0.0004229314208182844,0.011144876480102539,0.004531145095825195
110,-0.4615876355633598,-0.4620508145251687,-0.0004631789618089188,0.008682966232299805,0.003473997116088867
111,-0.4616458294001793,-0.46204743035290186,-0.00040160095272256946,0.008707046508789062,0.0037012100219726562
112,-0.46164862197776,-0.46204544237033573,-0.0003968203925757141,0.008742094039916992,0.0034928321838378906
113,-0.46164346007470447,-0.46204324787339246,-0.0003997877986879894,0.009875297546386719,0.003426790237426758
114,-0.46164607636496946,-0.462040631168426,-0.00039455480345651495,0.010725975036621094,0.0037081241607666016
115,-0.4616579095769586,-0.4620372522820215,-0.0003793427050629017,0.009613990783691406,0.003536224365234375
116,-0.4616804575024064,-0.4620357567826776,-0.00035529928027122626,0.009958028793334961,0.0033957958221435547
117,-0.4616639632409252,-0.46203436841356194,-0.0003704051726367563,0.011465072631835938,0.0035600662231445312
118,-0.4616246570632718,-0.46203229946989666,-0.00040764240662483076,0.010087251663208008,0.0036270618438720703
119,-0.4617574394531613,-0.46203104323640254,-0.0002736037832412608,0.009086132049560547,0.003556966781616211
120,-0.4615835851474326,-0.46202690409166536,-0.0004433189442327734,0.010616779327392578,0.003968715667724609
121,-0.4617300629764317,-0.46202113746599416,-0.0002910744895624484,0.009460926055908203,0.0035619735717773438
122,-0.46173142886005947,-0.4620188209381002,-0.00028739207804073796,0.010399103164672852,0.0036721229553222656
123,-0.461704898499802,-0.46201023219128956,-0.00030533369148755263,0.010149955749511719,0.004004955291748047
124,-0.4616099957635085,-0.4620039842568673,-0.00039398849335881003,0.011159658432006836,0.003467559814453125
125,-0.4616547239585965,-0.462000130178037,-0.00034540621944045835,0.01195383071899414,0.003589153289794922
126,-0.4617001788374646,-0.46199744197656933,-0.0002972631391047198,0.010017156600952148,0.004038095474243164
127,-0.46164080833144283,-0.46199314728476537,-0.0003523389533225396,0.011919975280761719,0.003677845001220703
128,-0.46165718039501924,-0.46199040977681527,-0.0003332293817960297,0.011864185333251953,0.003996849060058594
129,-0.46172403375607896,-0.46198950898081925,-0.00026547522474029694,0.012041091918945312,0.003443002700805664
130,-0.4616607405831802,-0.4619884403468433,-0.00032769976366309184,0.013083934783935547,0.0035288333892822266
131,-0.4617393958034377,-0.4619875275879739,-0.00024813178453619855,0.012373924255371094,0.0034890174865722656
132,-0.4616988256216561,-0.46198720392810166,-0.00028837830644556917,0.014168977737426758,0.003645181655883789
133,-0.4617035904530654,-0.46198605857434494,-0.00028246812127952214,0.01242971420288086,0.0034279823303222656
134,-0.4617061330464687,-0.46198466293772,-0.0002785298912513223,0.012574911117553711,0.003677845001220703
135,-0.46174817360479514,-0.46198216133143966,-0.0002339877266445134,0.012736082077026367,0.003787994384765625
136,-0.4617061722350706,-0.461981332238091,-0.00027516000302041377,0.012232303619384766,0.0038819313049316406
137,-0.46177256650195586,-0.4619798150975605,-0.0002072485956046144,0.013028144836425781,0.004040956497192383
138,-0.46174217603220746,-0.46197891979876005,-0.0002367437665525829,0.01235818862915039,0.0033931732177734375
139,-0.46177164901656376,-0.46197869776965383,-0.00020704875309007775,0.012890100479125977,0.0035538673400878906
140,-0.4617062774919586,-0.4619770180235552,-0.0002707405315965916,0.01367807388305664,0.0034742355346679688
141,-0.4617553109078457,-0.46197588379570753,-0.00022057288786181406,0.013424873352050781,0.003612041473388672
142,-0.4617564629994212,-0.4619733667135133,-0.0002169037140921093,0.013267993927001953,0.003448963165283203
143,-0.4617620038678869,-0.46197256899288064,-0.00021056512499373348,0.016139984130859375,0.0036177635192871094
144,-0.4617850002326437,-0.4619713336825413,-0.00018633344989760214,0.014920949935913086,0.003681182861328125
145,-0.46177718349384056,-0.46197031374376607,-0.00019313024992551053,0.014982938766479492,0.003556966781616211
146,-0.46174798312220955,-0.4619660685687528,-0.00021808544654322581,0.015571117401123047,0.0034639835357666016
147,-0.4617718700643625,-0.46196432888799954,-0.0001924588236370539,0.014902114868164062,0.003756999969482422
148,-0.4617144959448758,-0.4619623679750404,-0.0002478720301646309,0.015291929244995117,0.003426074981689453
149,-0.4618134210762952,-0.46196193941321084,-0.00014851833691564842,0.015558719635009766,0.0035889148712158203
150,-0.46179343336028555,-0.46196063223259465,-0.00016719887230909336,0.014477014541625977,0.0034880638122558594
151,-0.46170634257721377,-0.46195767618642414,-0.00025133360921036907,0.015254020690917969,0.0038251876831054688
