,UB,LB,Epsilon,MasterTime,LLTime
0,inf,2.0249751905279183,-0.3742027832552659,0.0637979507446289,4.833482265472412
1,inf,2.0871370652823806,-0.37380190155628523,0.06883978843688965,1.5296661853790283
2,inf,2.1592532284735775,-0.36745799319283307,0.06275343894958496,1.3530068397521973
3,inf,2.1994125486782075,-0.36305165062205963,0.0727834701538086,3.966529130935669
4,inf,2.2320085740664055,-0.18992914708264796,0.0688936710357666,4.963499546051025
5,inf,2.2588443403222023,-0.1632956502148975,0.07761073112487793,4.190877914428711
6,[2.38134008],2.28135226498377,-0.06114230559367173,0.08241558074951172,7.6749184131622314
7,[2.38134008],2.2841774997851196,-0.041874740986775405,0.07642221450805664,10.580551385879517
8,[2.38134008],2.286993396428951,-0.03393405578984926,0.08080124855041504,16.62790870666504
9,[2.38134008],2.288618482242125,-0.02836512881798242,0.07967090606689453,36.082640647888184
10,[2.38134008],2.291272390944851,-0.02224317679525306,0.0802769660949707,34.85242748260498
11,[2.30167395],2.2938624846816644,-0.011907895998922724,0.0899803638458252,108.9885311126709
12,[2.30167395],2.2941461004506714,-0.008546883448118048,0.08152031898498535,128.55941677093506
13,[2.30167395],2.2950590699071363,-0.009182546530529578,0.10322713851928711,120.30051159858704
14,[2.30167395],2.2958216285222903,-0.005416829518560151,0.10137677192687988,143.84247136116028
15,[2.30167395],2.2966413473253517,-0.004873289457024421,0.10317540168762207,104.84913086891174
16,[2.30167395],2.2967765619177953,-0.002871826212980766,0.10490107536315918,115.03340101242065
17,[2.30167395],2.2970057543862588,-0.002239812202892877,0.10213637351989746,169.78585863113403
18,[2.30167395],2.2972786669826526,-0.0013995852458719704,0.1417081356048584,214.8517246246338
19,[2.30167395],2.2974774134569884,-0.0007628919684385393,0.4491727352142334,558.2127304077148
20,[2.30167395],2.297573053064685,-0.0010512267360217598,0.1340188980102539,232.140558719635
21,[2.30167395],2.2976614837068645,-0.0008300962288363412,0.0887308120727539,131.4370858669281
22,[2.30167395],2.2976962460291652,-0.0003881115156829096,0.12046980857849121,153.1641228199005
23,[2.30167395],2.2977355585314783,-0.0003924244274212674,0.31478166580200195,188.2050075531006
24,[2.30167395],2.297778407091112,-0.0002713139585261426,0.1406266689300537,149.72641372680664
25,[2.29878644],2.2977921473664047,-0.0001975975269238872,0.12199044227600098,226.54609155654907
26,[2.29788644],2.2978046387912414,-0.00013882429760936343,0.1048731803894043,173.61038899421692
27,[2.29788644],2.297834762258365,-5.598171187159995e-05,0.11648821830749512,253.74399328231812
28,[2.29788644],2.297840817701438,-4.497491228933059e-05,0.11007189750671387,209.4296600818634
29,[2.29788644],2.297843031846078,-5.6908940081812354e-05,0.10547256469726562,169.98693346977234
30,[2.29788644],2.2978443036022647,-3.508142752256527e-05,0.10904407501220703,198.7561264038086
31,[2.29788644],2.2978489467418406,-5.616628804927526e-05,0.11329007148742676,238.9556806087494
32,[2.29788644],2.297851659966188,-3.351576539262213e-05,0.13044023513793945,223.2075572013855
33,[2.29788644],2.2978545315228907,-8.428058423715079e-06,0.1368720531463623,208.86759328842163
34,[2.29788644],2.2978558313843536,-9.614339814389972e-06,0.1437544822692871,209.167578458786
35,[2.29788644],2.2978571548667013,-5.743156796245152e-06,0.12511587142944336,224.22334837913513
36,[2.29786765],2.297857499203495,-7.105674367624548e-06,0.1470181941986084,201.39723920822144
37,[2.29785866],2.297858277701174,-6.660895992882665e-06,0.13089370727539062,185.32580757141113
